"table_schema","table_name","column_name","data_type"
"public","AppStoreSubscriptions","UserId","uuid"
"public","AppStoreSubscriptions","SubscriptionPlanId","uuid"
"public","AppStoreSubscriptions","StartDate","timestamp with time zone"
"public","AppStoreSubscriptions","EndDate","timestamp with time zone"
"public","AppStoreSubscriptions","IsActive","boolean"
"public","AppStoreSubscriptions","OriginalTransactionId","text"
"public","AspNetRoleClaims","Id","integer"
"public","AspNetRoleClaims","RoleId","uuid"
"public","AspNetRoleClaims","ClaimType","text"
"public","AspNetRoleClaims","ClaimValue","text"
"public","AspNetRoles","Id","uuid"
"public","AspNetRoles","Name","character varying"
"public","AspNetRoles","NormalizedName","character varying"
"public","AspNetRoles","ConcurrencyStamp","text"
"public","AspNetUserClaims","Id","integer"
"public","AspNetUserClaims","UserId","uuid"
"public","AspNetUserClaims","ClaimType","text"
"public","AspNetUserClaims","ClaimValue","text"
"public","AspNetUserLogins","LoginProvider","text"
"public","AspNetUserLogins","ProviderKey","text"
"public","AspNetUserLogins","ProviderDisplayName","text"
"public","AspNetUserLogins","UserId","uuid"
"public","AspNetUserRoles","UserId","uuid"
"public","AspNetUserRoles","RoleId","uuid"
"public","AspNetUserTokens","UserId","uuid"
"public","AspNetUserTokens","LoginProvider","text"
"public","AspNetUserTokens","Name","text"
"public","AspNetUserTokens","Value","text"
"public","AspNetUsers","Id","uuid"
"public","AspNetUsers","RefreshToken","text"
"public","AspNetUsers","RefreshTokenExpiryTime","timestamp with time zone"
"public","AspNetUsers","ConfirmEmailPin","integer"
"public","AspNetUsers","ConfirmEmailPinExpiryTime","timestamp with time zone"
"public","AspNetUsers","ResetPasswordPin","integer"
"public","AspNetUsers","ResetPasswordPinExpiryTime","timestamp with time zone"
"public","AspNetUsers","UserName","character varying"
"public","AspNetUsers","NormalizedUserName","character varying"
"public","AspNetUsers","Email","character varying"
"public","AspNetUsers","NormalizedEmail","character varying"
"public","AspNetUsers","EmailConfirmed","boolean"
"public","AspNetUsers","PasswordHash","text"
"public","AspNetUsers","SecurityStamp","text"
"public","AspNetUsers","ConcurrencyStamp","text"
"public","AspNetUsers","PhoneNumber","text"
"public","AspNetUsers","PhoneNumberConfirmed","boolean"
"public","AspNetUsers","TwoFactorEnabled","boolean"
"public","AspNetUsers","LockoutEnd","timestamp with time zone"
"public","AspNetUsers","LockoutEnabled","boolean"
"public","AspNetUsers","AccessFailedCount","integer"
"public","AspNetUsers","PreviousRefreshToken","text"
"public","Collectible","Id","uuid"
"public","Collectible","CountryIso3","text"
"public","Collectible","Artist","text"
"public","Collectible","Description","text"
"public","Collectible","CoinImageUrl","text"
"public","Collectible","UnclaimedImageUrl","text"
"public","Collectible","VisualAdjustment","integer"
"public","Collectible","Rarity","text"
"public","Collectible","Type","text"
"public","Collectible","BackgroundImageUrl","text"
"public","Collectible","CollectionId","uuid"
"public","Collectible","CollectorPoints","integer"
"public","Collectible","PositionInCollection","integer"
"public","Collectible","Name","text"
"public","Collectible","LocationDescription_1","text"
"public","Collectible","LocationDescription_2","text"
"public","Collectible","CollectibleLocation","USER-DEFINED"
"public","Collectible","UndiscoveredImageUrl","text"
"public","Collectible","ClaimedImageUrl","text"
"public","Collectible","Rating","text"
"public","Collectible","PriceToClaimInCoins","integer"
"public","Collectible","HasCustomCoin","boolean"
"public","Collectible","CoinPlaceholderImageUrl","text"
"public","Collections","Id","uuid"
"public","Collections","Name","text"
"public","Collections","BackgroundImageUrl","text"
"public","Collections","BadgeImageUrl","text"
"public","Collections","Description","text"
"public","Collections","CollectionType","text"
"public","Collections","BoxImageUrl","text"
"public","Friendships","Id","uuid"
"public","Friendships","RequesterId","uuid"
"public","Friendships","AddresseeId","uuid"
"public","Friendships","FriendshipLevel","integer"
"public","Friendships","Status","integer"
"public","Friendships","CreatedDate","timestamp with time zone"
"public","Friendships","CreatedBy","uuid"
"public","Friendships","LastModifiedDate","timestamp with time zone"
"public","Friendships","LastModifiedBy","uuid"
"public","Mementos","Id","uuid"
"public","Mementos","Type","text"
"public","Mementos","CaptureLocation","USER-DEFINED"
"public","Mementos","Url","text"
"public","Mementos","ThumbnailUrl","text"
"public","Mementos","IsRoyalExplorerOnTimeOfDiscovery","boolean"
"public","Mementos","CreatedDate","timestamp with time zone"
"public","Mementos","CreatedBy","uuid"
"public","Mementos","LastModifiedDate","timestamp with time zone"
"public","Mementos","LastModifiedBy","uuid"
"public","Mementos","IsMementoLocked","boolean"
"public","Municipalities","Gid","integer"
"public","Municipalities","Gid2","text"
"public","Municipalities","Gid0","text"
"public","Municipalities","Country","text"
"public","Municipalities","Gid1","text"
"public","Municipalities","Name1","text"
"public","Municipalities","Name2","text"
"public","Municipalities","Gid3","text"
"public","Municipalities","Name3","text"
"public","Municipalities","Continent","text"
"public","Municipalities","ContinentIso2","text"
"public","Municipalities","Geom","USER-DEFINED"
"public","MunicipalityPassport","PassportId","uuid"
"public","MunicipalityPassport","MunicipalityId","integer"
"public","MunicipalityPassport","VisitDateUtc","timestamp with time zone"
"public","POIs_V5","Id","uuid"
"public","POIs_V5","RatingString","text"
"public","POIs_V5","Description","text"
"public","PassportCollectible","PassportId","uuid"
"public","PassportCollectible","CollectibleId","uuid"
"public","PassportCollectible","CollectionTime","timestamp with time zone"
"public","PassportCollectible","CollectionPlace","USER-DEFINED"
"public","PassportCollectible","CollectorNumber","integer"
"public","PassportCollectible","IsRoyalExplorerOnTimeOfDiscovery","boolean"
"public","PassportCollectible","OwnershipStatus","text"
"public","PassportCollectible","Id","uuid"
"public","PassportCollectible","CertificateNumber","text"
"public","PassportCollectible","NotificationRead","boolean"
"public","PassportMemento","Id","uuid"
"public","PassportMemento","PassportId","uuid"
"public","PassportMemento","MementoId","uuid"
"public","PassportMemento","CreatedBy","uuid"
"public","PassportMemento","CreatedDate","timestamp with time zone"
"public","PassportMemento","LastModifiedBy","uuid"
"public","PassportMemento","LastModifiedDate","timestamp with time zone"
"public","Passports","Id","uuid"
"public","Passports","FirstName","text"
"public","Passports","LastName","text"
"public","Passports","ProfilePictureUrl","text"
"public","Passports","ProfilePictureThumbnailUrl","text"
"public","Passports","CountryOfOrigin","text"
"public","Passports","Description","text"
"public","Passports","PassportSequenceNumber","integer"
"public","Passports","PassportNumber","text"
"public","Passports","KilometersTravelled","numeric"
"public","Passports","ContinentsCount","integer"
"public","Passports","Coins","numeric"
